bab_id,class_id,subject_id,bab_name,description
BM503,5,MA001,Bab 4: Volume Kubus dan Balok,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM504,5,MA001,Bab 5: Pecahan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM505,5,MA001,Bab 6: Sifat-sifat Bangun,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM600,6,MA001,Bab 1: Pengerjaan Hitung Bilangan Bulat,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM601,6,MA001,Bab 2:Pengerjaan Hitung Bilangan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM602,6,MA001,Bab 3: Pengukuran,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM603,6,MA001,Bab 4: Luas dan Volume,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM604,6,MA001,Bab 5: Penyajian dan Pengolahan Data,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM605,6,MA001,Bab 6: Pengerjaan Hitungan Bilangan Pecahan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM606,6,MA001,Bab 7: Bilangan Koordinat,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI100,1,IP001,Bab 1: Tubuh,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI101,1,IP001,Bab 2: Kebutuhan Tubuh,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI102,1,IP001,Bab 3: Memelihara Lingkungan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI103,1,IP001,Bab 4: Benda dan Lingkungan Sekitar,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI104,1,IP001,Bab 5: Perubahan Bentuk Benda,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI105,1,IP001,Bab 6: Kegunaan Benda,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI106,1,IP001,Bab 7: Gerak Benda,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI107,1,IP001,Bab 8: Suber Energi Gerak,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI108,1,IP001,Bab 9: Benda Langit,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI109,1,IP001,Bab 10: Cuaca,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI110,1,IP001,Bab 11: Pengaruh Musim,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI200,2,IP001,Bab 1: Bagian Tubuh Hewan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI201,2,IP001,Bab 2: Bagian-Bagian Tumbuhan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI202,2,IP001,Bab 3: Tempat Hidup Hewan dan Tumbuhan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BI203,2,IP001,Bab 4: Manfaat Hewan dan Tumbuhan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
